trials.thisTrialN,trials.stepSize,trials.intensity,thisRow.t,notes,piloting,Instructions.started,text.started,key_resp_2.started,Instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,Fixation.started,Fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,thank_you.started,text_2.started,text_2.stopped,thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
39,0.5,2.5,49.42044508329127,,,,,,,,,,49.40399637504015,49.42044508329127,49.92061245837249,49.90394433331676,49.90394433331676,50.203896166640334,50.43735520832706,right,2.5,1,1,0.5300151249393821,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
40,0.5,2.0,50.45388533337973,,,,,,,,,,50.43738004169427,50.45388533337973,50.95389154169243,50.93727691669483,50.93727691669483,51.23723437497392,51.436378750018775,left,-2.0,1,1,0.4866597499931231,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
41,0.5,2.0,51.45387966663111,,,,,,,,,,51.436398999998346,51.45387966663111,51.95374470832758,51.93655262503307,51.93655262503307,52.23647087498102,52.5375145416474,right,2.0,1,1,0.5883740416029468,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
42,0.5,2.0,52.55382541671861,,,,,,,,,,52.53755512495991,52.55382541671861,53.05379345838446,53.037133666686714,53.037133666686714,53.33731979166623,53.520760874962434,right,2.0,0,0,0.4807706249412149,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
43,0.5,2.5,53.53726862499025,,,,,,,,,,53.52079291664995,53.53726862499025,54.03725508332718,54.0204189583892,54.0204189583892,54.320606291643344,54.6868404999841,left,-2.5,1,1,0.6547604165971279,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
44,0.5,2.5,54.70379020832479,,,,,,,,,,54.686866124975495,54.70379020832479,55.20375370827969,55.187135666725226,55.187135666725226,55.48641266662162,55.820832500001416,left,-2.5,1,1,0.6267313749995083,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
45,0.5,2.5,55.836849791696295,,,,,,,,,,55.82085649995133,55.836849791696295,56.33716316672508,56.320414541638456,56.320414541638456,56.62048825004604,56.95334825001191,right,2.5,1,1,0.6274220832856372,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
46,0.5,2.0,56.97050000005402,,,,,,,,,,56.95337345835287,56.97050000005402,57.47064720839262,57.45384416671004,57.45384416671004,57.75395816669334,58.63729212502949,right,2.0,1,1,1.1749550416134298,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
47,0.5,2.0,58.65391637501307,,,,,,,,,,58.637314791674726,58.65391637501307,59.15385241666809,59.137218583375216,59.137218583375216,59.437148833298124,59.77070479164831,right,2.0,0,0,0.6235462499316782,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
48,0.5,2.5,59.78714795829728,,,,,,,,,,59.770729874959216,59.78714795829728,60.28711516666226,60.2704774166923,60.2704774166923,60.57064199994784,60.920746041694656,left,-2.5,1,1,0.6422726250020787,,,,,sc1,001,2026-09-09_01h17.37.730,staircase task,,2026.2.3,59.76122402705075,2026-09-09 01h17.37.783528 +0530,
